player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Jalen Hurts,PHI,Rushing Yards,25.0,-400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,-1.6999999999999993,-0.43540525775661776,,,1.6999999999999993
Jalen Hurts,PHI,Passing TDs,1.0,-400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,2.65,1.65,-0.07234615958821003,,,1.65
Jaxson Dart,NYG,Passing TDs,3.0,1000.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,pass_tds,1.39,-1.61,-0.4213567832078028,,,1.61
Saquon Barkley,PHI,Receiving Yards,25.0,190.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rec_yards,23.6,-1.3999999999999986,0.3548307817501736,,,1.3999999999999986
AJ Brown,PHI,Receptions,8.0,475.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.72,-1.2800000000000002,-0.06616253922056015,,,1.2800000000000002
Dallas Goedert,PHI,Receptions,5.0,115.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,1.2599999999999998,0.7926376829949269,,,1.2599999999999998
Wan'dale Robinson,NYG,Receptions,6.0,110.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,1.2400000000000002,0.742830400850309,,,1.2400000000000002
Theo Johnson,NYG,Receptions,4.0,-185.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,1.17,0.256988455546884,,,1.17
Saquon Barkley,PHI,Receptions,5.0,450.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,receptions,3.83,-1.17,0.012330689407177409,,,1.17
DeVonta Smith,PHI,Receptions,5.0,-155.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,1.0300000000000002,0.29294765059395733,,,1.0300000000000002
DeVonta Smith,PHI,Receptions,7.0,225.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,6.03,-0.9699999999999998,-0.25969146178939106,,,0.9699999999999998
Saquon Barkley,PHI,Receptions,3.0,-105.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,receptions,3.83,0.8300000000000001,0.4416641759859594,,,0.8300000000000001
Theo Johnson,NYG,Receptions,6.0,225.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,5.17,-0.8300000000000001,-0.14984341490345687,,,0.8300000000000001
Wan'dale Robinson,NYG,Receptions,8.0,375.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,receptions,7.24,-0.7599999999999998,0.3271651067283925,,,0.7599999999999998
Dallas Goedert,PHI,Receptions,7.0,400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,receptions,6.26,-0.7400000000000002,0.4229988553743139,,,0.7400000000000002
